name,class,clade
Copia-1_AT-LTR,Copia,LTR Retrotransposon
Copia-20_AT-I,Copia,LTR Retrotransposon
Copia-20_AT-LTR,Copia,LTR Retrotransposon
Copia-21_AT-I,Copia,LTR Retrotransposon
Copia-21_AT-LTR,Copia,LTR Retrotransposon
Copia-22_AT-I,Copia,LTR Retrotransposon
Copia-22_AT-LTR,Copia,LTR Retrotransposon
Copia-23_AT-I,Copia,LTR Retrotransposon
Copia-23_AT-LTR,Copia,LTR Retrotransposon
Copia-24_AT-I,Copia,LTR Retrotransposon
Copia-24_AT-LTR,Copia,LTR Retrotransposon
Copia-25_AT-I,Copia,LTR Retrotransposon
Copia-25_AT-LTR,Copia,LTR Retrotransposon
Copia-26_AT-I,Copia,LTR Retrotransposon
Copia-26_AT-LTR,Copia,LTR Retrotransposon
Copia-27_AT-I,Copia,LTR Retrotransposon
Copia-27_AT-LTR,Copia,LTR Retrotransposon
Copia-28_AT-I,Copia,LTR Retrotransposon
Copia-28_AT-LTR,Copia,LTR Retrotransposon
Copia-29_AT-I,Copia,LTR Retrotransposon
Copia-29_AT-LTR,Copia,LTR Retrotransposon
Copia-2_AT-I,Copia,LTR Retrotransposon
Copia-2_AT-LTR,Copia,LTR Retrotransposon
Copia-30_AT-I,Copia,LTR Retrotransposon
Copia-30_AT-LTR,Copia,LTR Retrotransposon
Copia-31_AT-I,Copia,LTR Retrotransposon
Copia-31_AT-LTR,Copia,LTR Retrotransposon
Copia-32_AT-I,Copia,LTR Retrotransposon
Copia-32_AT-LTR,Copia,LTR Retrotransposon
Copia-33_AT-I,Copia,LTR Retrotransposon
Copia-33_AT-LTR,Copia,LTR Retrotransposon
Copia-34_AT-I,Copia,LTR Retrotransposon
Copia-35_AT-I,Copia,LTR Retrotransposon
Copia-35_AT-LTR,Copia,LTR Retrotransposon
Copia-36_AT-I,Copia,LTR Retrotransposon
Copia-36_AT-LTR,Copia,LTR Retrotransposon
Copia-37_AT-I,Copia,LTR Retrotransposon
Copia-37_AT-LTR,Copia,LTR Retrotransposon
Copia-38_AT-I,Copia,LTR Retrotransposon
Copia-38_AT-LTR,Copia,LTR Retrotransposon
Copia-39_AT-I,Copia,LTR Retrotransposon
Copia-39_AT-LTR,Copia,LTR Retrotransposon
Copia-3_AT-I,Copia,LTR Retrotransposon
Copia-3_AT-LTR,Copia,LTR Retrotransposon
Copia-40B_AT-I,Copia,LTR Retrotransposon
Copia-40B_AT-LTR,Copia,LTR Retrotransposon
Copia-40_AT-I,Copia,LTR Retrotransposon
Copia-40_AT-LTR,Copia,LTR Retrotransposon
Copia-41_AT-I,Copia,LTR Retrotransposon
Copia-41_AT-LTR,Copia,LTR Retrotransposon
Copia-42_AT-I,Copia,LTR Retrotransposon
Copia-42_AT-LTR,Copia,LTR Retrotransposon
Copia-43_AT-I,Copia,LTR Retrotransposon
Copia-43_AT-LTR,Copia,LTR Retrotransposon
Copia-44_AT-LTR,Copia,LTR Retrotransposon
Copia-45_AT-I,Copia,LTR Retrotransposon
Copia-45_AT-LTR,Copia,LTR Retrotransposon
Copia-46_AT-I,Copia,LTR Retrotransposon
Copia-46_AT-LTR,Copia,LTR Retrotransposon
Copia-47_AT-I,Copia,LTR Retrotransposon
Copia-47_AT-LTR,Copia,LTR Retrotransposon
Copia-48_AT-I,Copia,LTR Retrotransposon
Copia-48_AT-LTR,Copia,LTR Retrotransposon
Copia-49_AT-I,Copia,LTR Retrotransposon
Copia-49_AT-LTR,Copia,LTR Retrotransposon
Copia-4_AT-I,Copia,LTR Retrotransposon
Copia-4_AT-LTR,Copia,LTR Retrotransposon
Copia-50_AT-I,Copia,LTR Retrotransposon
Copia-50_AT-LTR,Copia,LTR Retrotransposon
Copia-51_AT-I,Copia,LTR Retrotransposon
Copia-51_AT-LTR,Copia,LTR Retrotransposon
Copia-52_AT-I,Copia,LTR Retrotransposon
Copia-52_AT-LTR,Copia,LTR Retrotransposon
Copia-5_AT-I,Copia,LTR Retrotransposon
Copia-5_AT-LTR,Copia,LTR Retrotransposon
Copia-6_AT-I,Copia,LTR Retrotransposon
Copia-6_AT-LTR,Copia,LTR Retrotransposon
Copia-7_AT-I,Copia,LTR Retrotransposon
Copia-7_AT-LTR,Copia,LTR Retrotransposon
Copia-8_AT-I,Copia,LTR Retrotransposon
Copia-8_AT-LTR,Copia,LTR Retrotransposon
Copia-9_AT-I,Copia,LTR Retrotransposon
Copia-9_AT-LTR,Copia,LTR Retrotransposon
DNA-1_AT,other,other
DNA-2_AT,other,other
DNA3-1_AT,other,other
DNA3-2_AT,other,other
DNA3-3_AT,other,other
DNA3-4_AT,other,other
DNA3-5_AT,other,other
DNA3-8_AT,other,other
DNA9-1_AT,other,other
DNA9-2_AT,other,other
DT1,Mariner/Tc1,DNA transposon
ENDOVIR1LTR,Copia,LTR Retrotransposon
ENDOVIR1_I,Copia,LTR Retrotransposon
EnSpm-1_AT,EnSpm/CACTA,DNA transposon
EnSpm-2_AT,EnSpm/CACTA,DNA transposon
EnSpm-3_AT,EnSpm/CACTA,DNA transposon
EnSpm-4_AT,EnSpm/CACTA,DNA transposon
EnSpm-5_AT,EnSpm/CACTA,DNA transposon
EnSpm-6_AT,EnSpm/CACTA,DNA transposon
Gypsy-10B_AT-I,Gypsy,LTR Retrotransposon
Gypsy-10B_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-10_AT-I,Gypsy,LTR Retrotransposon
Gypsy-10_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-11_AT-I,Gypsy,LTR Retrotransposon
Gypsy-11_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-12_AT-I,Gypsy,LTR Retrotransposon
Gypsy-12_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-13_AT-I,Gypsy,LTR Retrotransposon
Gypsy-13_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-14_AT-I,Gypsy,LTR Retrotransposon
Gypsy-14_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-15_AT-I,Gypsy,LTR Retrotransposon
Gypsy-15_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-16_AT-I,Gypsy,LTR Retrotransposon
Gypsy-16_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-17B_AT-I,Gypsy,LTR Retrotransposon
Gypsy-17B_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-17_AT-I,Gypsy,LTR Retrotransposon
Gypsy-17_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-18_AT-I,Gypsy,LTR Retrotransposon
Gypsy-18_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-19_AT-I,Gypsy,LTR Retrotransposon
Gypsy-19_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-1_AT-I,Gypsy,LTR Retrotransposon
Gypsy-1_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-20_AT-I,Gypsy,LTR Retrotransposon
Gypsy-20_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-21_AT-I,Gypsy,LTR Retrotransposon
Gypsy-22_AT-I,Gypsy,LTR Retrotransposon
Gypsy-23_AT-I,Gypsy,LTR Retrotransposon
Gypsy-23_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-24_AT-I,Gypsy,LTR Retrotransposon
Gypsy-24_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-25_AT-I,Gypsy,LTR Retrotransposon
Gypsy-25_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-26_AT-I,Gypsy,LTR Retrotransposon
Gypsy-26_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-27_AT-I,Gypsy,LTR Retrotransposon
Gypsy-28B_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-28_AT-I,Gypsy,LTR Retrotransposon
Gypsy-28_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-29_AT-I,Gypsy,LTR Retrotransposon
Gypsy-29_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-2_AT-I,Gypsy,LTR Retrotransposon
Gypsy-2_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-30_AT-I,Gypsy,LTR Retrotransposon
Gypsy-30_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-31_AT-I,Gypsy,LTR Retrotransposon
Gypsy-31_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-32_AT-I,Gypsy,LTR Retrotransposon
Gypsy-32_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-33_AT-I,Gypsy,LTR Retrotransposon
Gypsy-33_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-34_AT-I,Gypsy,LTR Retrotransposon
Gypsy-34_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-35_AT-I,Gypsy,LTR Retrotransposon
Gypsy-35_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-36_AT-I,Gypsy,LTR Retrotransposon
Gypsy-36_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-37B_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-37_AT-I,Gypsy,LTR Retrotransposon
Gypsy-37_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-38_AT-I,Gypsy,LTR Retrotransposon
Gypsy-38_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-39_AT-I,Gypsy,LTR Retrotransposon
Gypsy-39_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-3_AT-I,Gypsy,LTR Retrotransposon
Gypsy-3_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-40_AT-I,Gypsy,LTR Retrotransposon
Gypsy-40_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-41_AT-I,Gypsy,LTR Retrotransposon
Gypsy-41_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-42_AT-I,Gypsy,LTR Retrotransposon
Gypsy-42_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-43_AT-I,Gypsy,LTR Retrotransposon
Gypsy-43_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-44_AT-I,Gypsy,LTR Retrotransposon
Gypsy-44_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-45_AT-I,Gypsy,LTR Retrotransposon
Gypsy-45_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-46_AT-I,Gypsy,LTR Retrotransposon
Gypsy-46_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-47_AT-I,Gypsy,LTR Retrotransposon
Gypsy-47_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-48_AT-I,Gypsy,LTR Retrotransposon
Gypsy-48_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-49_AT-I,Gypsy,LTR Retrotransposon
Gypsy-49_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-4_AT-I,Gypsy,LTR Retrotransposon
Gypsy-50_AT-I,Gypsy,LTR Retrotransposon
Gypsy-50_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-51_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-52_AT-I,Gypsy,LTR Retrotransposon
Gypsy-52_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-53_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-54_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-55_AT-I,Gypsy,LTR Retrotransposon
Gypsy-55_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-56_AT-I,Gypsy,LTR Retrotransposon
Gypsy-56_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-57_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-58_AT-I,Gypsy,LTR Retrotransposon
Gypsy-58_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-59_AT-I,Gypsy,LTR Retrotransposon
Gypsy-59_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-5_AT-I,Gypsy,LTR Retrotransposon
Gypsy-5_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-60_AT-I,Gypsy,LTR Retrotransposon
Gypsy-60_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-61_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-6_AT-I,Gypsy,LTR Retrotransposon
Gypsy-6_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-7_AT-I,Gypsy,LTR Retrotransposon
Gypsy-7_AT-LTR,Gypsy,LTR Retrotransposon
Gypsy-9_AT-I,Gypsy,LTR Retrotransposon
Gypsy-9_AT-LTR,Gypsy,LTR Retrotransposon
HARBINGER,Harbinger,DNA transposon
Harbinger-1_AT,Harbinger,DNA transposon
Harbinger-2_AT,Harbinger,DNA transposon
Harbinger-3_AT,Harbinger,DNA transposon
Harbinger-4_AT,Harbinger,DNA transposon
Harbinger-5_AT,Harbinger,DNA transposon
Harbinger-N10_AT,Harbinger,DNA transposon
Harbinger-N11_AT,Harbinger,DNA transposon
Harbinger-N12_AT,Harbinger,DNA transposon
Harbinger-N13_AT,Harbinger,DNA transposon
Harbinger-N14_AT,Harbinger,DNA transposon
Harbinger-N15_AT,Harbinger,DNA transposon
Harbinger-N1_AT,Harbinger,DNA transposon
Harbinger-N2_AT,Harbinger,DNA transposon
Harbinger-N3_AT,Harbinger,DNA transposon
Harbinger-N4_AT,Harbinger,DNA transposon
Harbinger-N5_AT,Harbinger,DNA transposon
Harbinger-N6_AT,Harbinger,DNA transposon
Harbinger-N7_AT,Harbinger,DNA transposon
Harbinger-N8_AT,Harbinger,DNA transposon
Harbinger-N9_AT,Harbinger,DNA transposon
hAT-1_AT,hAT,DNA transposon
hAT-2_AT,hAT,DNA transposon
hAT-3_AT,hAT,DNA transposon
hAT-4_AT,hAT,DNA transposon
hAT-5N1_AT,hAT,DNA transposon
hAT-5N2_AT,hAT,DNA transposon
hAT-5_AT,hAT,DNA transposon
hAT-N4b_AT,hAT,DNA transposon
hAT-N4_AT,hAT,DNA transposon
hAT-N5_AT,hAT,DNA transposon
hAT-N6_AT,hAT,DNA transposon
hAT-N7_AT,hAT,DNA transposon
hAT-N8_AT,hAT,DNA transposon
Helitron-5_AT,Helitron,DNA transposon
Helitron-N1_AT,Helitron,DNA transposon
Helitron-N2_AT,Helitron,DNA transposon
Helitron-N3_AT,Helitron,DNA transposon
Helitron-N4_AT,Helitron,DNA transposon
Helitron-N5_AT,Helitron,DNA transposon
Helitron-N6_AT,Helitron,DNA transposon
Helitron-N7_AT,Helitron,DNA transposon
Helitron-N8_AT,Helitron,DNA transposon
Helitron-N9_AT,Helitron,DNA transposon
HELITRON1,Helitron,DNA transposon
HELITRON2,Helitron,DNA transposon
HELITRON3,Helitron,DNA transposon
HELITRON4,Helitron,DNA transposon
HELITRON5,Helitron,DNA transposon
HELITRONY1A,Helitron,DNA transposon
HELITRONY1B,Helitron,DNA transposon
HELITRONY1C,Helitron,DNA transposon
HELITRONY1D,Helitron,DNA transposon
HELITRONY1E,Helitron,DNA transposon
HELITRONY2,Helitron,DNA transposon
HELITRONY3,Helitron,DNA transposon
HELITRONY3A,Helitron,DNA transposon
L1-10_AT,L1,Non-LTR Retrotransposon
L1-11_AT,L1,Non-LTR Retrotransposon
L1-12_AT,L1,Non-LTR Retrotransposon
L1-13_AT,L1,Non-LTR Retrotransposon
L1-14_AT,L1,Non-LTR Retrotransposon
L1-15_AT,L1,Non-LTR Retrotransposon
L1-16_AT,L1,Non-LTR Retrotransposon
L1-17_AT,L1,Non-LTR Retrotransposon
L1-18_AT,L1,Non-LTR Retrotransposon
L1-19_AT,L1,Non-LTR Retrotransposon
L1-1_AT,L1,Non-LTR Retrotransposon
L1-20_AT,L1,Non-LTR Retrotransposon
L1-21_AT,L1,Non-LTR Retrotransposon
L1-22_AT,L1,Non-LTR Retrotransposon
L1-23_AT,L1,Non-LTR Retrotransposon
L1-24_AT,L1,Non-LTR Retrotransposon
L1-25_AT,L1,Non-LTR Retrotransposon
L1-26_AT,L1,Non-LTR Retrotransposon
L1-27_AT,L1,Non-LTR Retrotransposon
L1-28_AT,L1,Non-LTR Retrotransposon
L1-29_AT,L1,Non-LTR Retrotransposon
L1-2_AT,L1,Non-LTR Retrotransposon
L1-30_AT,L1,Non-LTR Retrotransposon
L1-31_AT,L1,Non-LTR Retrotransposon
L1-32_AT,L1,Non-LTR Retrotransposon
L1-33_AT,L1,Non-LTR Retrotransposon
L1-34_AT,L1,Non-LTR Retrotransposon
L1-35_AT,L1,Non-LTR Retrotransposon
L1-36_AT,L1,Non-LTR Retrotransposon
L1-37_AT,L1,Non-LTR Retrotransposon
L1-38_AT,L1,Non-LTR Retrotransposon
L1-39_AT,L1,Non-LTR Retrotransposon
L1-3_AT,L1,Non-LTR Retrotransposon
L1-40_AT,L1,Non-LTR Retrotransposon
L1-41_AT,L1,Non-LTR Retrotransposon
L1-42_AT,L1,Non-LTR Retrotransposon
L1-43_AT,L1,Non-LTR Retrotransposon
L1-44_AT,L1,Non-LTR Retrotransposon
L1-45_AT,L1,Non-LTR Retrotransposon
L1-46_AT,L1,Non-LTR Retrotransposon
L1-47_AT,L1,Non-LTR Retrotransposon
L1-48_AT,L1,Non-LTR Retrotransposon
L1-49_AT,L1,Non-LTR Retrotransposon
L1-4_AT,L1,Non-LTR Retrotransposon
L1-50_AT,L1,Non-LTR Retrotransposon
L1-51_AT,L1,Non-LTR Retrotransposon
L1-52_AT,L1,Non-LTR Retrotransposon
L1-53_AT,L1,Non-LTR Retrotransposon
L1-54_AT,L1,Non-LTR Retrotransposon
L1-55_AT,L1,Non-LTR Retrotransposon
L1-56_AT,L1,Non-LTR Retrotransposon
L1-57_AT,L1,Non-LTR Retrotransposon
L1-58_AT,L1,Non-LTR Retrotransposon
L1-59_AT,L1,Non-LTR Retrotransposon
L1-5_AT,L1,Non-LTR Retrotransposon
L1-60_AT,L1,Non-LTR Retrotransposon
L1-61_AT,L1,Non-LTR Retrotransposon
L1-62_AT,L1,Non-LTR Retrotransposon
L1-63_AT,L1,Non-LTR Retrotransposon
L1-64_AT,L1,Non-LTR Retrotransposon
L1-65_AT,L1,Non-LTR Retrotransposon
L1-66_AT,L1,Non-LTR Retrotransposon
L1-67_AT,L1,Non-LTR Retrotransposon
L1-68_AT,L1,Non-LTR Retrotransposon
L1-69_AT,L1,Non-LTR Retrotransposon
L1-6_AT,L1,Non-LTR Retrotransposon
L1-70_AT,L1,Non-LTR Retrotransposon
L1-71_AT,L1,Non-LTR Retrotransposon
L1-72_AT,L1,Non-LTR Retrotransposon
L1-73_AT,L1,Non-LTR Retrotransposon
L1-74_AT,L1,Non-LTR Retrotransposon
L1-75_AT,L1,Non-LTR Retrotransposon
L1-76_AT,L1,Non-LTR Retrotransposon
L1-77_AT,L1,Non-LTR Retrotransposon
L1-7_AT,L1,Non-LTR Retrotransposon
L1-8_AT,L1,Non-LTR Retrotransposon
L1-9_AT,L1,Non-LTR Retrotransposon
LIMPET1,MuDR,DNA transposon
LTR-1_AT-I,other,other
LTR-1_AT-LTR,other,other
LTR-2_AT-LTR,Copia,LTR Retrotransposon
LTR-3_AT-LTR,Copia,LTR Retrotransposon
LTR-4B_AT-I,other,other
LTR-4B_AT-LTR,other,other
LTR-4_AT-I,other,other
LTR-4_AT-LTR,other,other
LTR-5_AT-LTR,other,other
LTR-6_AT-I,other,other
LTR-6_AT-LTR,other,other
LTR-7_AT-LTR,other,other
Mariner-N1_AT,Mariner/Tc1,DNA transposon
Mariner-N2_AT,Mariner/Tc1,DNA transposon
Mariner-N3_AT,Mariner/Tc1,DNA transposon
META1_I,Copia,LTR Retrotransposon
META1_LTR,Copia,LTR Retrotransposon
MuDR-1_AT,MuDR,DNA transposon
MuDR-2_AT,MuDR,DNA transposon
MuDR-3_AT,MuDR,DNA transposon
MuDR-4_AT,MuDR,DNA transposon
MuDR-5_AT,MuDR,DNA transposon
MuDR-N10_AT,MuDR,DNA transposon
MuDR-N11_AT,MuDR,DNA transposon
MuDR-N12_AT,MuDR,DNA transposon
MuDR-N13_AT,MuDR,DNA transposon
MuDR-N14_AT,MuDR,DNA transposon
MuDR-N15_AT,MuDR,DNA transposon
MuDR-N16_AT,MuDR,DNA transposon
MuDR-N17_AT,MuDR,DNA transposon
MuDR-N18_AT,MuDR,DNA transposon
MuDR-N1B_AT,MuDR,DNA transposon
MuDR-N1_AT,MuDR,DNA transposon
MuDR-N2_AT,MuDR,DNA transposon
MuDR-N3_AT,MuDR,DNA transposon
MuDR-N4_AT,MuDR,DNA transposon
MuDR-N5_AT,MuDR,DNA transposon
MuDR-N6_AT,MuDR,DNA transposon
MuDR-N7_AT,MuDR,DNA transposon
MuDR-N8B_AT,MuDR,DNA transposon
MuDR-N8_AT,MuDR,DNA transposon
MuDR-N9_AT,MuDR,DNA transposon
NonLTR-1_AT,other,other
RP1_AT,Harbinger,DNA transposon
Sadhu1-1,other,other
Sadhu1-2,other,other
Sadhu1-3,other,other
Sadhu10-1,other,other
Sadhu2-1,other,other
Sadhu3-1,other,other
Sadhu3-2,other,other
Sadhu4-1,other,other
Sadhu4-2,other,other
Sadhu5-1,other,other
Sadhu5-2,other,other
Sadhu6-1,other,other
Sadhu7-1,other,other
Sadhu7-2,other,other
Sadhu8-1,other,other
Sadhu9-1,other,other
SIMPLEGUY1,Harbinger,DNA transposon
SIMPLEHAT1,hAT,DNA transposon
SIMPLEHAT2,hAT,DNA transposon
SINE-1_AT,other,other
SINE2-2_AT,SINE,Non-LTR Retrotransposon
TA1-2_I,Copia,LTR Retrotransposon
TA1-2_LTR,Copia,LTR Retrotransposon
TA11,L1,Non-LTR Retrotransposon
TA12,L1,Non-LTR Retrotransposon
TAG1,hAT,DNA transposon
TAG2,hAT,DNA transposon
TAG3N1,hAT,DNA transposon
TNAT1A,other,other
TNAT2A,other,other
TSCL,other,other
VANDAL1,MuDR,DNA transposon
VANDAL10,MuDR,DNA transposon
VANDAL11,MuDR,DNA transposon
VANDAL12,MuDR,DNA transposon
VANDAL13,MuDR,DNA transposon
VANDAL14,MuDR,DNA transposon
VANDAL15,MuDR,DNA transposon
VANDAL16,MuDR,DNA transposon
VANDAL17,MuDR,DNA transposon
VANDAL18,MuDR,DNA transposon
VANDAL18NA,MuDR,DNA transposon
VANDAL18NB,MuDR,DNA transposon
VANDAL1N1,MuDR,DNA transposon
VANDAL2,MuDR,DNA transposon
VANDAL20,MuDR,DNA transposon
VANDAL21,MuDR,DNA transposon
VANDAL22,MuDR,DNA transposon
VANDAL2N1,MuDR,DNA transposon
VANDAL3,MuDR,DNA transposon
VANDAL4,MuDR,DNA transposon
VANDAL5,MuDR,DNA transposon
VANDAL5A,MuDR,DNA transposon
VANDAL6,MuDR,DNA transposon
VANDAL7,MuDR,DNA transposon
VANDAL8,MuDR,DNA transposon
VANDAL9,MuDR,DNA transposon
VANDALNX1,MuDR,DNA transposon
